Date,Sentiment_Index
05/01/2023,153.24
06/01/2023,156.46
09/01/2023,155.29
10/01/2023,156.13
11/01/2023,157.23
12/01/2023,157.5
13/01/2023,157.65
17/01/2023,156.93
18/01/2023,154.25
19/01/2023,153.44
20/01/2023,155.23
23/01/2023,156.03
24/01/2023,155.91
25/01/2023,155.84
26/01/2023,156.86
27/01/2023,156.21
30/01/2023,154.66
31/01/2023,156.78
01/02/2023,157.64
02/02/2023,157.26
03/02/2023,156.03
06/02/2023,155.3
07/02/2023,156.38
08/02/2023,155.13
09/02/2023,153.95
10/02/2023,155.32
13/02/2023,156.56
14/02/2023,156.07
15/02/2023,156.01
16/02/2023,154.14
17/02/2023,154.03
21/02/2023,151.76
22/02/2023,151.41
23/02/2023,151.89
